       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
   2494.429     2.9088     2.9086   3.257956   3.257575     2.1643     0.0390     0.9228     0.1264    96.8901    34.9238 1.9162e+03 9.5400e-02   2458.000    34.9238    34.9194     6.1230    1503.39
   2493.409     2.9096     2.9093   3.257983   3.257598     2.1647     0.0384     0.9253     0.1264    96.8902    34.9238 1.9500e+03 9.5400e-02   2457.000    34.9238    34.9195     6.1236    1503.38
   2492.388     2.9099     2.9087   3.257958   3.257499     2.1654     0.0446     0.9274     0.1264    96.8902    34.9236 1.9810e+03 9.5400e-02   2456.000    34.9236    34.9194     6.1256    1503.36
   2491.367     2.9110     2.9107   3.258016   3.257613     2.1654     0.0226     0.9261     0.1264    96.8902    34.9237 1.9992e+03 9.5400e-02   2455.000    34.9237    34.9191     6.1244    1503.35
   2490.346     2.9134     2.9135   3.258179   3.257831     2.1656     0.0341     0.9318     0.1265    96.8862    34.9235 1.9977e+03 9.5400e-02   2454.000    34.9235    34.9192     6.1242    1503.34
   2489.326     2.9160     2.9159   3.258408   3.258011     2.1660     0.0352     0.9282     0.1264    96.8899    34.9239 1.9908e+03 9.5400e-02   2453.000    34.9239    34.9194     6.1242    1503.34
   2488.305     2.9194     2.9182   3.258638   3.258205     2.1664     0.0424     0.9303     0.1264    96.8902    34.9236 1.9802e+03 9.5400e-02   2452.000    34.9236    34.9197     6.1245    1503.33
   2487.284     2.9195     2.9195   3.258622   3.258238     2.1669     0.0431     0.9274     0.1263    96.8914    34.9238 1.9683e+03 9.5400e-02   2451.000    34.9238    34.9192     6.1253    1503.32
   2486.264     2.9216     2.9224   3.258783   3.258439     2.1669     0.0409     0.9267     0.1262    96.8946    34.9240 1.9653e+03 9.5400e-02   2450.000    34.9240    34.9191     6.1245    1503.31
   2485.243     2.9246     2.9238   3.259008   3.258584     2.1670     0.0349     0.9251     0.1264    96.8903    34.9240 1.9639e+03 9.5400e-02   2449.000    34.9240    34.9197     6.1232    1503.31
   2484.222     2.9237     2.9239   3.258911   3.258551     2.1671     0.0378     0.9217     0.1264    96.8883    34.9242 1.9561e+03 9.5400e-02   2448.000    34.9242    34.9197     6.1230    1503.29
   2483.202     2.9250     2.9246   3.258985   3.258593     2.1672     0.0524     0.9268     0.1264    96.8902    34.9242 1.9332e+03 9.5400e-02   2447.000    34.9242    34.9199     6.1226    1503.27
   2482.181     2.9260     2.9261   3.259020   3.258653     2.1677     0.0418     0.9273     0.1264    96.8902    34.9240 1.9176e+03 9.5400e-02   2446.000    34.9240    34.9196     6.1233    1503.26
   2481.160     2.9274     2.9274   3.259108   3.258725     2.1677     0.0219     0.9269     0.1267    96.8822    34.9241 1.9062e+03 9.5400e-02   2445.000    34.9241    34.9195     6.1224    1503.25
   2480.140     2.9288     2.9288   3.259204   3.258822     2.1677     0.0450     0.9148     0.1264    96.8904    34.9242 1.8940e+03 9.5400e-02   2444.000    34.9242    34.9196     6.1213    1503.24
   2479.119     2.9293     2.9295   3.259194   3.258839     2.1681     0.0470     0.9148     0.1264    96.8902    34.9241 1.8828e+03 9.5400e-02   2443.000    34.9241    34.9197     6.1217    1503.22
   2478.098     2.9304     2.9303   3.259265   3.258880     2.1683     0.0470     0.9199     0.1264    96.8902    34.9242 1.8676e+03 9.5400e-02   2442.000    34.9242    34.9197     6.1214    1503.21
   2477.078     2.9305     2.9305   3.259244   3.258883     2.1683     0.0411     0.9200     0.1264    96.8902    34.9243 1.8617e+03 9.5400e-02   2441.000    34.9243    34.9200     6.1209    1503.19
   2476.057     2.9307     2.9306   3.259246   3.258872     2.1690     0.0441     0.9259     0.1264    96.8896    34.9246 1.8481e+03 9.5400e-02   2440.000    34.9246    34.9202     6.1228    1503.18
   2475.036     2.9306     2.9306   3.259165   3.258788     2.1685     0.0343     0.9197     0.1264    96.8902    34.9242 1.8642e+03 9.5400e-02   2439.000    34.9242    34.9197     6.1201    1503.16
   2474.016     2.9312     2.9311   3.259184   3.258808     2.1690     0.0337     0.9205     0.1264    96.8902    34.9244 1.8757e+03 9.5400e-02   2438.000    34.9244    34.9199     6.1211    1503.14
   2472.995     2.9316     2.9315   3.259188   3.258796     2.1690     0.0222     0.9269     0.1264    96.8902    34.9244 1.8872e+03 9.5400e-02   2437.000    34.9244    34.9199     6.1202    1503.13
   2471.974     2.9324     2.9324   3.259208   3.258827     2.1686     0.0226     0.9260     0.1264    96.8902    34.9243 1.8967e+03 9.5400e-02   2436.000    34.9243    34.9197     6.1174    1503.11
   2470.954     2.9333     2.9334   3.259258   3.258877     2.1690     0.0404     0.9219     0.1264    96.8902    34.9244 1.9032e+03 9.5400e-02   2435.000    34.9244    34.9198     6.1180    1503.10
   2469.933     2.9336     2.9340   3.259259   3.258906     2.1695     0.0467     0.9200     0.1264    96.8902    34.9245 1.9053e+03 9.5400e-02   2434.000    34.9245    34.9199     6.1190    1503.09
   2468.912     2.9336     2.9335   3.259207   3.258851     2.1689     0.0416     0.9200     0.1264    96.8902    34.9244 1.8995e+03 9.5400e-02   2433.000    34.9244    34.9202     6.1162    1503.07
