       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
     80.775     4.1252     4.1249   3.263455   3.263233     3.0224     0.0304     0.8879     0.1406    96.5470    34.9184 1.3054e+03 9.5400e-02     80.000    34.9184    34.9160     6.6695    1468.36
     81.785     4.1239     4.1237   3.263368   3.263144     3.0232     0.0410     0.8918     0.1396    96.5709    34.9181 1.3042e+03 9.5400e-02     81.000    34.9181    34.9157     6.6727    1468.37
     82.795     4.1191     4.1191   3.262927   3.262757     3.0228     0.0342     0.9215     0.1432    96.4830    34.9174 1.3035e+03 9.5400e-02     82.000    34.9174    34.9155     6.6735    1468.37
     83.805     4.1132     4.1127   3.262486   3.262229     3.0221     0.0309     0.8904     0.1405    96.5475    34.9179 1.3058e+03 9.5400e-02     83.000    34.9179    34.9154     6.6733    1468.36
     84.815     4.1076     4.1071   3.262050   3.261840     3.0230     0.0404     0.8866     0.1401    96.5590    34.9182 1.3078e+03 9.5407e-02     84.000    34.9182    34.9163     6.6777    1468.35
     85.825     4.1019     4.1014   3.261573   3.261318     3.0230     0.0456     0.8832     0.1430    96.4895    34.9181 1.3107e+03 9.5400e-02     85.000    34.9181    34.9156     6.6797    1468.34
     86.835     4.1015     4.1013   3.261568   3.261335     3.0228     0.0364     0.8833     0.1407    96.5439    34.9178 1.3157e+03 9.5400e-02     86.000    34.9178    34.9153     6.6801    1468.36
     87.845     4.1004     4.0995   3.261517   3.261234     3.0221     0.0398     0.8906     0.1543    96.2181    34.9179 1.3191e+03 9.5407e-02     87.000    34.9179    34.9154     6.6791    1468.37
     88.855     4.0963     4.0963   3.261202   3.261006     3.0207     0.0301     0.8858     0.1416    96.5218    34.9179 1.3325e+03 9.5400e-02     88.000    34.9179    34.9156     6.6770    1468.37
     89.865     4.0956     4.0953   3.261224   3.260983     3.0198     0.0372     0.8935     0.1400    96.5596    34.9184 1.3476e+03 9.5400e-02     89.000    34.9184    34.9159     6.6755    1468.39
     90.875     4.0956     4.0956   3.261326   3.261104     3.0202     0.0245     0.8864     0.1407    96.5428    34.9190 1.3524e+03 9.5400e-02     90.000    34.9190    34.9164     6.6774    1468.40
     91.885     4.0980     4.0973   3.261661   3.261410     3.0207     0.0337     0.8862     0.1400    96.5599    34.9199 1.3529e+03 9.5405e-02     91.000    34.9199    34.9176     6.6792    1468.43
     92.894     4.0923     4.0921   3.261149   3.260908     3.0211     0.0362     0.8850     0.1405    96.5494    34.9193 1.3526e+03 9.5400e-02     92.000    34.9193    34.9167     6.6823    1468.42
     93.904     4.0978     4.0981   3.261752   3.261559     3.0213     0.0417     0.8840     0.1405    96.5496    34.9201 1.3551e+03 9.5400e-02     93.000    34.9201    34.9175     6.6826    1468.46
     94.914     4.0993     4.0982   3.261945   3.261675     3.0212     0.0417     0.8949     0.1411    96.5349    34.9203 1.3570e+03 9.5400e-02     94.000    34.9203    34.9183     6.6828    1468.49
     95.924     4.0893     4.0908   3.261065   3.261014     3.0208     0.0325     0.9033     0.1446    96.4507    34.9199 1.3570e+03 9.5400e-02     95.000    34.9199    34.9176     6.6846    1468.46
     96.934     4.0889     4.0884   3.261065   3.260812     3.0210     0.0297     0.8831     0.1488    96.3479    34.9198 1.3529e+03 9.5400e-02     96.000    34.9198    34.9173     6.6860    1468.47
     97.944     4.0903     4.0898   3.261248   3.261000     3.0208     0.0405     0.8812     0.1489    96.3459    34.9199 1.3432e+03 9.5409e-02     97.000    34.9199    34.9175     6.6860    1468.50
     98.954     4.0832     4.0824   3.260661   3.260424     3.0209     0.0452     0.8883     0.1501    96.3189    34.9200 1.3333e+03 9.5399e-02     98.000    34.9200    34.9180     6.6886    1468.48
     99.964     4.0678     4.0679   3.259224   3.259062     3.0195     0.0414     0.8928     0.1422    96.5080    34.9187 1.3313e+03 9.5400e-02     99.000    34.9187    34.9167     6.6883    1468.44
    100.974     4.0663     4.0654   3.259116   3.258823     3.0176     0.0395     0.8896     0.1394    96.5753    34.9185 1.3303e+03 9.5400e-02    100.000    34.9185    34.9160     6.6844    1468.45
    101.984     4.0622     4.0602   3.258752   3.258388     3.0163     0.0229     0.8890     0.1413    96.5290    34.9180 1.3276e+03 9.5400e-02    101.000    34.9180    34.9157     6.6824    1468.44
    102.994     4.0532     4.0524   3.257965   3.257695     3.0157     0.0381     0.8920     0.1398    96.5662    34.9176 1.3260e+03 9.5400e-02    102.000    34.9176    34.9153     6.6832    1468.42
    104.004     4.0690     4.0705   3.259437   3.259358     3.0140     0.0365     0.8880     0.1407    96.5429    34.9178 1.3089e+03 9.5400e-02    103.000    34.9178    34.9153     6.6767    1468.51
    105.014     4.0816     4.0843   3.260687   3.260743     3.0157     0.0417     0.9285     0.1404    96.5509    34.9186 1.3032e+03 9.5400e-02    104.000    34.9186    34.9164     6.6798    1468.58
    106.024     4.0603     4.0673   3.258796   3.259325     3.0151     0.0223     0.8889     0.1403    96.5534    34.9184 1.3028e+03 9.5400e-02    105.000    34.9184    34.9171     6.6829    1468.50
    107.034     4.0396     4.0394   3.256990   3.256818     3.0134     0.0344     0.8862     0.1401    96.5583    34.9183 1.3010e+03 9.5400e-02    106.000    34.9183    34.9165     6.6829    1468.43
    108.044     4.0335     4.0331   3.256500   3.256271     3.0119     0.0221     0.8885     0.1388    96.5886    34.9184 1.2974e+03 9.5409e-02    107.000    34.9184    34.9161     6.6808    1468.42
    109.054     4.0289     4.0289   3.256104   3.255947     3.0103     0.0356     0.8902     0.1425    96.5008    34.9181 1.2967e+03 9.5400e-02    108.000    34.9181    34.9162     6.6780    1468.42
    110.064     4.0249     4.0245   3.255801   3.255583     3.0076     0.0396     0.8875     0.1397    96.5678    34.9182 1.2973e+03 9.5400e-02    109.000    34.9182    34.9160     6.6721    1468.42
    111.074     4.0167     4.0163   3.255095   3.254888     3.0051     0.0218     0.8884     0.1383    96.6028    34.9180 1.2972e+03 9.5400e-02    110.000    34.9180    34.9159     6.6676    1468.40
    112.084     4.0154     4.0148   3.255000   3.254763     3.0016     0.0174     0.8871     0.1393    96.5777    34.9177 1.2970e+03 9.5400e-02    111.000    34.9177    34.9155     6.6591    1468.41
    113.094     4.0113     4.0109   3.254685   3.254457     2.9996     0.0227     0.8901     0.1394    96.5747    34.9178 1.2941e+03 9.5400e-02    112.000    34.9178    34.9155     6.6551    1468.41
    114.105     4.0086     4.0081   3.254477   3.254227     2.9993     0.0343     0.8870     0.1381    96.6066    34.9176 1.2871e+03 9.5407e-02    113.000    34.9176    34.9151     6.6558    1468.42
    115.115     4.0054     4.0050   3.254223   3.253988     3.0009     0.0224     0.8862     0.1388    96.5902    34.9174 1.2806e+03 9.5400e-02    114.000    34.9174    34.9151     6.6617    1468.42
    116.125     4.0025     4.0020   3.254021   3.253774     3.0020     0.0226     0.8872     0.1408    96.5420    34.9176 1.2806e+03 9.5400e-02    115.000    34.9176    34.9152     6.6661    1468.43
    117.135     3.9923     3.9919   3.253086   3.252940     3.0034     0.0226     0.8894     0.1397    96.5675    34.9167 1.2801e+03 9.5400e-02    116.000    34.9167    34.9155     6.6726    1468.40
    118.145     3.9761     3.9759   3.251599   3.251499     3.0046     0.0342     0.8881     0.1391    96.5823    34.9157 1.2839e+03 9.5400e-02    117.000    34.9157    34.9148     6.6797    1468.35
    119.155     3.9660     3.9652   3.250694   3.250437     3.0063     0.0290     0.8856     0.1382    96.6029    34.9152 1.2845e+03 9.5400e-02    118.000    34.9152    34.9130     6.6873    1468.32
    120.165     3.9615     3.9611   3.250297   3.250051     3.0087     0.0367     0.8817     0.1395    96.5724    34.9147 1.2815e+03 9.5410e-02    119.000    34.9147    34.9122     6.6956    1468.32
    121.175     3.9607     3.9602   3.250252   3.249998     3.0114     0.0248     0.8891     0.1406    96.5468    34.9145 1.2784e+03 9.5409e-02    120.000    34.9145    34.9120     6.7040    1468.33
    122.185     3.9597     3.9593   3.250195   3.249950     3.0132     0.0243     0.8894     0.1378    96.6140    34.9144 1.2767e+03 9.5400e-02    121.000    34.9144    34.9118     6.7101    1468.34
    123.195     3.9588     3.9587   3.250211   3.249967     3.0146     0.0469     0.8894     0.1376    96.6182    34.9149 1.2779e+03 9.5400e-02    122.000    34.9149    34.9121     6.7150    1468.36
    124.205     3.9620     3.9621   3.250646   3.250406     3.0160     0.0239     0.8864     0.1379    96.6122    34.9161 1.2813e+03 9.5400e-02    123.000    34.9161    34.9132     6.7189    1468.39
    125.215     3.9633     3.9630   3.250814   3.250566     3.0175     0.0380     0.9070     0.1382    96.6051    34.9162 1.2820e+03 9.5411e-02    124.000    34.9162    34.9135     6.7239    1468.41
    126.226     3.9641     3.9634   3.250937   3.250647     3.0183     0.0142     0.8898     0.1371    96.6299    34.9162 1.2837e+03 9.5400e-02    125.000    34.9162    34.9135     6.7267    1468.43
    127.236     3.9631     3.9626   3.250907   3.250649     3.0173     0.0439     0.8892     0.1373    96.6259    34.9165 1.2866e+03 9.5410e-02    126.000    34.9165    34.9139     6.7251    1468.44
    128.246     3.9601     3.9598   3.250712   3.250464     3.0168     0.0403     0.8865     0.1368    96.6368    34.9168 1.2860e+03 9.5410e-02    127.000    34.9168    34.9141     6.7252    1468.45
    129.256     3.9621     3.9617   3.250986   3.250710     3.0161     0.0298     0.8865     0.1367    96.6407    34.9173 1.2854e+03 9.5400e-02    128.000    34.9173    34.9145     6.7236    1468.47
    130.266     3.9611     3.9608   3.250958   3.250711     3.0151     0.0309     0.8863     0.1368    96.6369    34.9175 1.2855e+03 9.5411e-02    129.000    34.9175    34.9149     6.7219    1468.49
    131.276     3.9583     3.9579   3.250746   3.250503     3.0140     0.0227     0.8864     0.1362    96.6518    34.9174 1.2899e+03 9.5411e-02    130.000    34.9174    34.9150     6.7202    1468.49
    132.286     3.9551     3.9551   3.250480   3.250301     3.0128     0.0226     0.8882     0.1367    96.6402    34.9172 1.2949e+03 9.5411e-02    131.000    34.9172    34.9150     6.7184    1468.49
    133.296     3.9484     3.9480   3.249903   3.249676     3.0116     0.0226     0.8909     0.1378    96.6126    34.9168 1.2967e+03 9.5400e-02    132.000    34.9168    34.9146     6.7172    1468.48
    134.307     3.9435     3.9429   3.249485   3.249213     3.0110     0.0376     0.8911     0.1378    96.6145    34.9165 1.2988e+03 9.5400e-02    133.000    34.9165    34.9139     6.7172    1468.48
    135.317     3.9422     3.9419   3.249412   3.249172     3.0100     0.0409     0.8892     0.1366    96.6424    34.9164 1.3007e+03 9.5410e-02    134.000    34.9164    34.9139     6.7156    1468.49
    136.327     3.9405     3.9399   3.249279   3.249023     3.0089     0.0373     0.8892     0.1363    96.6510    34.9162 1.3001e+03 9.5411e-02    135.000    34.9162    34.9137     6.7139    1468.50
    137.337     3.9372     3.9368   3.249001   3.248763     3.0078     0.0270     0.8894     0.1356    96.6678    34.9159 1.3018e+03 9.5423e-02    136.000    34.9159    34.9134     6.7124    1468.50
    138.347     3.9358     3.9355   3.248921   3.248672     3.0070     0.0147     0.8894     0.1371    96.6294    34.9158 1.3021e+03 9.5425e-02    137.000    34.9158    34.9132     6.7113    1468.51
    139.357     3.9343     3.9340   3.248815   3.248574     3.0060     0.0277     0.8894     0.1411    96.5335    34.9156 1.3021e+03 9.5410e-02    138.000    34.9156    34.9131     6.7096    1468.52
    140.368     3.9333     3.9331   3.248763   3.248343     3.0048     0.0381     0.8904     0.1386    96.5934    34.9155 1.3017e+03 9.5400e-02    139.000    34.9155    34.9107     6.7074    1468.53
    141.378     3.9267     3.9265   3.248176   3.248001     3.0038     0.0270     0.8881     0.1366    96.6420    34.9150 1.3049e+03 9.5429e-02    140.000    34.9150    34.9131     6.7067    1468.52
    142.388     3.9191     3.9187   3.247529   3.247294     3.0028     0.0380     0.8998     0.1363    96.6506    34.9148 1.3093e+03 9.5409e-02    141.000    34.9148    34.9124     6.7061    1468.51
    143.398     3.9182     3.9178   3.247486   3.247219     3.0017     0.0374     0.8890     0.1360    96.6575    34.9147 1.3132e+03 9.5400e-02    142.000    34.9147    34.9119     6.7041    1468.52
