,Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,OOI changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
0,Global Southern Ocean,GS01SUMO,SBD11,Nitrate: NUTNR Series B,GS01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-00277,277,2,#43,2019-08-23 21:04:33.879,CGINS-NUTNRB-00277__20170602.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00277__20170602.csv,File renamed with correct date ,2015-12-14 20:20:00,2016-12-12 07:58:00,
0,Coastal Pioneer,CP04OSSM,RID26,Nitrate: NUTNR Series B,CP04OSSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00280,280,3,#43,2019-08-23 21:06:26.501,CGINS-NUTNRB-00280__20150716.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00280__20150716.csv,File renamed with correct date ,2015-10-22 19:38:00,2016-05-13 17:18:00,
1,Global Southern Ocean,GS01SUMO,SBD11,Nitrate: NUTNR Series B,GS01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-00280,280,3,#43,2019-08-23 21:06:31.906,CGINS-NUTNRB-00280__20160609.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00280__20160609.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Coastal Pioneer,CP03ISSM,RID26,Nitrate: NUTNR Series B,CP03ISSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00283,283,3,#43,2019-08-23 21:06:12.021,CGINS-NUTNRB-00283__20161022.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00283__20161022.csv,File renamed with correct date Calibration coefficients were modified,2015-10-21 17:44:00,2016-05-14 13:45:00,
1,Global Argentine Basin,GA01SUMO,SBD11,Nitrate: NUTNR Series B,GA01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-00283,283,3,#43,2019-08-23 21:06:12.021,CGINS-NUTNRB-00283__20161022.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00283__20161022.csv,File renamed with correct date Calibration coefficients were modified,2016-10-27 01:47:00,2018-01-14 10:24:00,
0,Coastal Pioneer,CP01CNSM,RID26,Nitrate: NUTNR Series B,CP01CNSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00284,284,4,#43,2019-08-23 21:07:06.699,CGINS-NUTNRB-00284__20151015.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00284__20151015.csv,File renamed with correct date Calibration coefficients were modified,2015-10-23 18:49:00,2016-04-04 12:03:00,
1,Global Southern Ocean,GS01SUMO,RID16,Nitrate: NUTNR Series B,GS01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-00284,284,3,#43,2019-08-23 21:04:43.102,CGINS-NUTNRB-00284__20160607.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00284__20160607.csv,File renamed with correct date ,2016-11-25 01:11:00,2018-12-09 16:42:00,
0,Coastal Pioneer,CP01CNSM,RID26,Nitrate: NUTNR Series B,CP01CNSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00285,285,8,,2019-08-23 21:06:35.199,CGINS-NUTNRB-00285__20160927.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-00285__20160927.csv,No errors found,2017-10-29 14:15:00,2018-03-29 19:37:00,
0,Coastal Pioneer,CP01CNSM,RID26,Nitrate: NUTNR Series B,CP01CNSM-RID26-07-NUTNRB000,CGINS-NUTNRB-01063,NTR-1063,9,,2019-08-23 21:04:30.249,CGINS-NUTNRB-01063__20170912.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01063__20170912.csv,No errors found,2018-03-24 21:32:00,2018-10-29 12:31:00,
0,Coastal Pioneer,CP04OSSM,RID26,Nitrate: NUTNR Series B,CP04OSSM-RID26-07-NUTNRB000,CGINS-NUTNRB-01064,NTR-1064,8,,2019-08-23 21:05:04.148,CGINS-NUTNRB-01064__20170915.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01064__20170915.csv,No errors found,2018-03-24 14:37:00,2018-10-30 14:30:00,
0,Coastal Pioneer,CP03ISSM,RID26,Nitrate: NUTNR Series B,CP03ISSM-RID26-07-NUTNRB000,CGINS-NUTNRB-01065,NTR-1065,8,,2019-08-23 21:04:43.664,CGINS-NUTNRB-01065__20170912.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01065__20170912.csv,No errors found,2018-03-25 15:27:00,2018-10-26 19:52:00,
0,Global Irminger Sea,GI01SUMO,SBD11,Nitrate: NUTNR Series B,GI01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-01086,NTR-1086,5,,2019-08-23 21:04:31.435,CGINS-NUTNRB-01086__20180602.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01086__20180602.csv,No errors found,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Irminger Sea,GI01SUMO,RID16,Nitrate: NUTNR Series B,GI01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-01087,NTR-1087,5,,2019-08-23 21:04:25.229,CGINS-NUTNRB-01087__20180602.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01087__20180602.csv,No errors found,2018-06-08 17:21:00,2019-08-09 08:04:00,
0,Global Southern Ocean,GS01SUMO,SBD11,Nitrate: NUTNR Series B,GS01SUMO-SBD11-08-NUTNRB000,CGINS-NUTNRB-01088,NTR-1088,4,,2019-08-23 21:04:52.638,CGINS-NUTNRB-01088__20181126.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01088__20181126.csv,No errors found,2018-12-04 17:10:40,,
0,Coastal Pioneer,CP04OSSM,RID26,Nitrate: NUTNR Series B,CP04OSSM-RID26-07-NUTNRB000,CGINS-NUTNRB-01089,NTR-1089,10,,2019-08-23 21:04:52.725,CGINS-NUTNRB-01089__20190327.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01089__20190327.csv,No errors found,2019-04-05 14:55:00,,
0,Coastal Pioneer,CP01CNSM,RID26,Nitrate: NUTNR Series B,CP01CNSM-RID26-07-NUTNRB000,CGINS-NUTNRB-01090,NTR-1090,11,,2019-08-23 21:05:09.424,CGINS-NUTNRB-01090__20190401.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01090__20190401.csv,No errors found,2019-04-06 14:35:00,,
0,Coastal Pioneer,CP03ISSM,RID26,Nitrate: NUTNR Series B,CP03ISSM-RID26-07-NUTNRB000,CGINS-NUTNRB-01091,NTR-1091,10,,2019-08-23 21:05:22.312,CGINS-NUTNRB-01091__20190327.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01091__20190327.csv,No errors found,2019-04-07 14:42:00,,
0,Coastal Pioneer,CP03ISSM,RID26,Nitrate: NUTNR Series B,CP03ISSM-RID26-07-NUTNRB000,CGINS-NUTNRB-01094,NTR-1094,9,,2019-08-23 21:04:46.312,CGINS-NUTNRB-01094__20181011.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01094__20181011.csv,No errors found,2018-10-29 03:43:00,2019-04-06 18:51:00,
0,Coastal Pioneer,CP01CNSM,RID26,Nitrate: NUTNR Series B,CP01CNSM-RID26-07-NUTNRB000,CGINS-NUTNRB-01102,NTR-1102,10,,2019-08-23 21:05:19.512,CGINS-NUTNRB-01102__20181011.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01102__20181011.csv,No errors found,2018-10-30 01:48:00,2019-04-07 18:08:00,
0,Global Southern Ocean,GS01SUMO,RID16,Nitrate: NUTNR Series B,GS01SUMO-RID16-07-NUTNRB000,CGINS-NUTNRB-01103,NTR-1103,4,,2019-08-23 21:06:38.042,CGINS-NUTNRB-01103__20181126.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/NUTNRB/CGINS-NUTNRB-01103__20181126.csv,No errors found,2018-12-04 17:10:40,,
