       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
   1467.171     3.6354     3.6340   3.282231   3.282347     1.9382     0.0331     0.0868    6.20064   1448.000    34.9385    34.9414    1488.84    6.20049  1034.5139  1034.5165     -0.900    7.33228 0.0000e+00
   1466.154     3.6373     3.6359   3.282350   3.282470     1.9905     0.0348     0.0869    6.42391   1447.000    34.9385    34.9413    1488.83    6.42376  1034.5092  1034.5116     -1.079    7.33195 0.0000e+00
   1465.137     3.6395     3.6385   3.282502   3.282670     1.9633     0.0456     0.0869    6.30596   1446.000    34.9384    34.9415    1488.83    6.30581  1034.5042  1034.5067     -1.226    7.33154 0.0000e+00
   1464.120     3.6404     3.6402   3.282572   3.282797     1.9043     0.0406     0.0869    6.05189   1445.000    34.9388    34.9417    1488.81    6.05174  1034.4998  1034.5021     -1.286    7.33136 0.0000e+00
   1463.104     3.6415     3.6408   3.282618   3.282813     1.9783     0.0355     0.0869    6.36819   1444.000    34.9388    34.9418    1488.80    6.36804  1034.4950  1034.4974     -1.242    7.33118 0.0000e+00
   1462.087     3.6411     3.6406   3.282538   3.282768     1.9578     0.0348     0.0868    6.27937   1443.000    34.9387    34.9419    1488.78    6.27923  1034.4904  1034.4929     -1.123    7.33124 0.0000e+00
   1461.070     3.6410     3.6404   3.282486   3.282714     1.9076     0.0348     0.0869    6.06367   1442.000    34.9387    34.9420    1488.76    6.06352  1034.4858  1034.4885     -0.976    7.33127 0.0000e+00
   1460.053     3.6414     3.6404   3.282484   3.282649     1.9721     0.0390     0.0869    6.33899   1441.000    34.9387    34.9418    1488.75    6.33883  1034.4812  1034.4836     -0.854    7.33119 0.0000e+00
   1459.037     3.6433     3.6405   3.282575   3.282620     1.9263     0.0416     0.0869    6.14159   1440.000    34.9383    34.9418    1488.74    6.14145  1034.4760  1034.4790     -0.864    7.33086 0.0000e+00
   1458.020     3.6443     3.6419   3.282659   3.282683     1.9416     0.0353     0.0869    6.20604   1439.000    34.9388    34.9416    1488.73    6.20589  1034.4716  1034.4741     -1.011    7.33066 0.0000e+00
   1457.003     3.6459     3.6451   3.282745   3.282907     1.9420     0.0348     0.0869    6.20696   1438.000    34.9386    34.9413    1488.72    6.20681  1034.4667  1034.4689     -1.119    7.33038 0.0000e+00
   1455.987     3.6463     3.6459   3.282741   3.282958     1.9641     0.0398     0.0867    6.30070   1437.000    34.9387    34.9416    1488.70    6.30055  1034.4620  1034.4644     -1.109    7.33031 0.0000e+00
   1454.970     3.6468     3.6464   3.282751   3.282959     1.8955     0.0428     0.0868    6.00569   1436.000    34.9387    34.9417    1488.69    6.00555  1034.4574  1034.4598     -1.015    7.33020 0.0000e+00
   1453.953     3.6474     3.6467   3.282749   3.282948     1.9574     0.0397     0.0869    6.27023   1435.000    34.9385    34.9417    1488.67    6.27008  1034.4526  1034.4552     -0.957    7.33010 0.0000e+00
   1452.937     3.6475     3.6468   3.282718   3.282903     1.9447     0.0425     0.0867    6.21492   1434.000    34.9386    34.9415    1488.66    6.21477  1034.4480  1034.4504     -0.966    7.33009 0.0000e+00
   1451.920     3.6474     3.6473   3.282653   3.282922     1.9701     0.0351     0.0869    6.32297   1433.000    34.9384    34.9417    1488.64    6.32281  1034.4434  1034.4459     -0.934    7.33011 0.0000e+00
   1450.903     3.6474     3.6468   3.282603   3.282837     1.9253     0.0348     0.0869    6.13034   1432.000    34.9383    34.9417    1488.62    6.13019  1034.4386  1034.4414     -0.970    7.33011 0.0000e+00
   1449.886     3.6473     3.6469   3.282537   3.282772     1.9475     0.0354     0.0868    6.22439   1431.000    34.9382    34.9413    1488.61    6.22424  1034.4340  1034.4365     -1.154    7.33015 0.0000e+00
   1448.870     3.6467     3.6459   3.282414   3.282644     1.9623     0.0348     0.0867    6.28691   1430.000    34.9379    34.9414    1488.59    6.28676  1034.4292  1034.4320     -1.293    7.33027 0.0000e+00
   1447.853     3.6459     3.6451   3.282301   3.282490     1.9461     0.0348     0.0867    6.21700   1429.000    34.9379    34.9410    1488.57    6.21685  1034.4247  1034.4272     -1.283    7.33041 0.0000e+00
   1446.836     3.6462     3.6450   3.282293   3.282431     1.9647     0.0348     0.0867    6.29558   1428.000    34.9380    34.9408    1488.55    6.29543  1034.4202  1034.4225     -1.112    7.33036 0.0000e+00
   1445.820     3.6469     3.6456   3.282318   3.282453     1.9100     0.0352     0.0866    6.06098   1427.000    34.9381    34.9409    1488.54    6.06083  1034.4155  1034.4180     -0.887    7.33023 0.0000e+00
   1444.803     3.6465     3.6459   3.282232   3.282447     1.9443     0.0447     0.0866    6.20701   1426.000    34.9380    34.9411    1488.52    6.20686  1034.4109  1034.4135     -0.855    7.33031 0.0000e+00
   1443.786     3.6463     3.6457   3.282146   3.282381     1.9497     0.0346     0.0864    6.22926   1425.000    34.9377    34.9410    1488.50    6.22911  1034.4061  1034.4088     -0.957    7.33036 0.0000e+00
