       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
    119.155     4.7359     4.7355   3.321059   3.321136     1.9993     0.0327     0.0854    4.88694    118.000    34.9292    34.9305    1471.40    4.88679  1028.2017  1028.2028      0.789    7.13774 0.0000e+00
    120.165     4.7321     4.7313   3.320682   3.320714     1.9996     0.0297     0.0861    4.88901    119.000    34.9282    34.9295    1471.40    4.88887  1028.2059  1028.2070      0.547    7.13843 0.0000e+00
    121.176     4.7408     4.7401   3.321769   3.321787     2.0002     0.0320     0.0853    4.89051    120.000    34.9312    34.9322    1471.45    4.89037  1028.2120  1028.2129      1.165    7.13679 0.0000e+00
    122.186     4.7422     4.7409   3.321977   3.321906     2.0006     0.0474     0.0855    4.89206    121.000    34.9316    34.9322    1471.48    4.89192  1028.2168  1028.2174      1.570    7.13653 0.0000e+00
    123.196     4.7422     4.7409   3.322014   3.322051     2.0009     0.0390     0.0856    4.89384    122.000    34.9315    34.9333    1471.49    4.89370  1028.2214  1028.2230      1.701    7.13654 0.0000e+00
    124.206     4.7350     4.7336   3.321373   3.321444     2.0012     0.0421     0.0853    4.89625    123.000    34.9311    34.9333    1471.48    4.89611  1028.2266  1028.2285      1.587    7.13780 0.0000e+00
    125.216     4.7269     4.7256   3.320680   3.320727     2.0006     0.0418     0.0852    4.89622    124.000    34.9310    34.9329    1471.46    4.89607  1028.2322  1028.2339      1.201    7.13921 0.0000e+00
    126.226     4.7207     4.7195   3.320159   3.320178     2.0001     0.0325     0.0855    4.89601    125.000    34.9308    34.9324    1471.45    4.89587  1028.2374  1028.2388      0.598    7.14028 0.0000e+00
    127.236     4.7112     4.7100   3.319314   3.319372     1.9994     0.0431     0.0854    4.89546    126.000    34.9305    34.9324    1471.43    4.89532  1028.2429  1028.2446      0.835    7.14195 0.0000e+00
    128.246     4.7040     4.7028   3.318781   3.318807     1.9994     0.0431     0.0851    4.89707    127.000    34.9313    34.9329    1471.42    4.89692  1028.2490  1028.2505      1.068    7.14315 0.0000e+00
    129.256     4.6934     4.6921   3.317833   3.317911     1.9991     0.0419     0.0858    4.89792    128.000    34.9308    34.9331    1471.39    4.89778  1028.2545  1028.2566      0.995    7.14501 0.0000e+00
    130.267     4.6819     4.6797   3.316775   3.316722     1.9982     0.0414     0.0860    4.89729    129.000    34.9300    34.9318    1471.36    4.89715  1028.2600  1028.2616      0.939    7.14704 0.0000e+00
    131.277     4.6741     4.6724   3.316069   3.316079     1.9975     0.0423     0.0850    4.89666    130.000    34.9295    34.9314    1471.34    4.89651  1028.2651  1028.2668      1.140    7.14843 0.0000e+00
    132.287     4.6643     4.6631   3.315184   3.315280     1.9972     0.0413     0.0849    4.89741    131.000    34.9289    34.9314    1471.32    4.89727  1028.2705  1028.2726      1.354    7.15015 0.0000e+00
    133.297     4.6471     4.6456   3.313594   3.313766     1.9967     0.0293     0.0852    4.89889    132.000    34.9279    34.9315    1471.26    4.89875  1028.2764  1028.2793      1.383    7.15319 0.0000e+00
    134.307     4.6318     4.6306   3.312211   3.312250     1.9966     0.0334     0.0850    4.90111    133.000    34.9273    34.9291    1471.21    4.90097  1028.2823  1028.2838      1.172    7.15587 0.0000e+00
    135.317     4.6376     4.6368   3.312977   3.312979     1.9961     0.0438     0.0856    4.89939    134.000    34.9296    34.9305    1471.26    4.89925  1028.2882  1028.2889      0.719    7.15475 0.0000e+00
    136.327     4.6650     4.6637   3.315903   3.315639     1.9960     0.0275     0.0848    4.89585    135.000    34.9344    34.9327    1471.39    4.89570  1028.2935  1028.2922      0.780    7.14977 0.0000e+00
    137.338     4.6820     4.6812   3.317724   3.317809     1.9962     0.0404     0.0848    4.89480    136.000    34.9372    34.9391    1471.48    4.89466  1028.2983  1028.2999      1.230    7.14668 0.0000e+00
