ASSET_UID,Serial Number
ATAPL-70114-00003,AQS-6389/AQD 11641
ATAPL-70114-00004,AQS-6802/AQD 11930
ATAPL-70114-00006,AQS 7205/AQD 12227
ATAPL-70114-00007,AQS 7340/AQD 12469
ATAPL-70129-00001,307
ATAPL-70129-00002,308
ATAPL-70129-00003,177
ATAPL-70168-00001,SUBC12096
ATAPL-70168-00002,SUBC13115
ATAPL-70168-00003,SUBC13114
ATAPL-70248-00001,P1-SUBC13115
ATAPL-70248-00002,P2-SUBC13114
ATAPL-71553-00005,5
ATAPL-71553-00203,203
ATAPL-71553-00204,204
ATCWK-67627-00006,16-50209
ATCWK-67627-00007,16-50210
ATOSU-58317-00007,100
ATOSU-58317-00008,105
ATOSU-58317-00012,117
ATOSU-58317-00013,118
ATOSU-58320-00007,215
ATOSU-58320-00008,137
ATOSU-58320-00017,316
ATOSU-58320-00018,317
ATOSU-58320-00019,311
ATOSU-58320-00020,216
ATOSU-58320-00021,133
ATOSU-58320-00022,381
ATOSU-58322-00008,1150
ATOSU-58322-00013,1289
ATOSU-58324-00012,1411
ATOSU-58324-00013,1250
ATOSU-58324-00014,1248
ATOSU-58324-00015,1249
ATOSU-58324-00016,1412
ATOSU-58332-00003,ACS-128
ATOSU-58332-00007,ACS-223
ATOSU-58332-00008,ACS-221
ATOSU-58332-00009,ACS-169
ATOSU-58336-00005,C0078
ATOSU-58336-00006,C0079
ATOSU-58336-00007,C0116
ATOSU-58336-00008,C0117
ATOSU-58336-00011,C0064
ATOSU-58336-00012,C0080
ATOSU-58336-00013,C0090
ATOSU-58336-00014,C0118
ATOSU-58337-00007,P0115
ATOSU-58337-00008,P0131
ATOSU-58337-00011,P0153
ATOSU-58337-00012,P0154
ATOSU-58337-00015,P0116
ATOSU-58337-00016,P0117
ATOSU-58337-00017,P0159
ATOSU-58337-00018,P0132
ATOSU-58341-00005,241
ATOSU-58341-00008,251
ATOSU-58346-00007,1216
ATOSU-58346-00008,1131/TAG#: 116118
ATOSU-58694-00004,43-2853
ATOSU-58694-00007,43-3136
ATOSU-63259-00001,3
ATOSU-63259-00002,4
ATOSU-63259-00003,5
ATOSU-63259-00004,1
ATOSU-63259-00005,2
ATOSU-63295-00001,3
ATOSU-63295-00002,4
ATOSU-63295-00003,5
ATOSU-63295-00004,1
ATOSU-63295-00005,2
ATOSU-66645-00005,434
ATOSU-66645-00008,566
ATOSU-66662-00006,16-50018
ATOSU-66662-00007,16-50019
ATOSU-66662-00013,16-50112
ATOSU-66662-00014,16-50113
ATOSU-67977-00006,52-0146
ATOSU-67977-00007,5277187-0138/TAG#: 116117
ATOSU-68020-00005,344
ATOSU-68020-00008,625
ATOSU-69825-00001,21498
ATOSU-69825-00002,18153
ATOSU-69825-00003,18919
ATOSU-69826-00001,18493
ATOSU-69826-00002,19003
ATOSU-69826-00003,19003
ATOSU-69827-00001,16-7230
ATOSU-69827-00002,16-50114
ATOSU-69827-00003,16-7248
ATOSU-69828-00001,16-7231
ATOSU-69828-00002,16-7249
ATOSU-69828-00003,16-50117
ATOSU-69829-00001,5157
ATOSU-69829-00002,5156
ATOSU-69829-00003,8167
ATOSU-69829-00004,8159
ATOSU-69829-00005,8181
ATOSU-69943-00010,ACS-191
ATOSU-69943-00011,ACS-140
ATOSU-70110-00006,FLNTURTD-3762
ATOSU-70110-00007,FLNTURTD-3398
ATOSU-70111-00006,FLCDRTD-3717
ATOSU-70111-00007,FLCDRTD-3400
ATOSU-70114-10005,AQD 8399
ATOSU-70114-10008,AQD 12692
ATOSU-70570-00001,C0064
ATOSU-70570-00002,C0080
ATOSU-70570-00003,C0090
ATOSU-70570-00004,C0118
ATOSU-70571-00001,P0116
ATOSU-70571-00002,P0117
ATOSU-70571-00003,P0132
ATOSU-70571-00004,P0159
CGCON-AUVPNR-06263,6263
CGCON-AUVPNR-06264,6264
CGCON-BCPM01-00001,1
CGCON-BCPM01-00002,3703-00235-0002
CGCON-BCPM01-00004,4
CGCON-BCPM01-00006,6
CGCON-BCPM01-00007,7
CGCON-BCPM01-00008,2015-0008
CGCON-BCPM01-00009,9
CGCON-BCPM01-00010,10
CGCON-BCPM01-02001,2001
CGCON-BCPM01-02002,2002
CGCON-BCPM01-15004,2015-0004
CGCON-BCPM01-15005,2015-0005
CGCON-BCPM01-15009,9
CGCON-BCPM01-17009,2017-009
CGCON-BCPM01-50001,2015-0001
CGCON-BCPM01-50002,2015-0002
CGCON-BCPM01-50003,2015-0003
CGCON-BCPM01-50004,2015-0004
CGCON-BCPM01-50005,2015-0005
CGCON-BCPM01-50006,2015-0006
CGCON-BCPM01-50007,2015-0007
CGCON-BCPM01-50008,2015-0008
CGCON-BCPM01-50009,2015-0009
CGCON-BCPM01-60002,2016-0002
CGCON-BCPM01-60701,60701
CGCON-BCPM01-70001,2017-0001
CGCON-BDCL11-00001,1
CGCON-BDCL11-00002,3703-00235-0002
CGCON-BDCL11-00004,4
CGCON-BDCL11-00006,6
CGCON-BDCL11-00007,7
CGCON-BDCL11-00008,8
CGCON-BDCL11-00009,9
CGCON-BDCL11-00010,10
CGCON-BDCL11-02001,2001
CGCON-BDCL11-02002,2002
CGCON-BDCL11-15004,2015-0004
CGCON-BDCL11-15005,2015-0005
CGCON-BDCL11-15009,9
CGCON-BDCL11-17009,2017-009
CGCON-BDCL11-50001,2015-0001
CGCON-BDCL11-50002,2015-0002
CGCON-BDCL11-50003,2015-0003
CGCON-BDCL11-50004,2015-0004
CGCON-BDCL11-50005,2015-0005
CGCON-BDCL11-50006,2015-0006
CGCON-BDCL11-50007,2015-0007
CGCON-BDCL11-50008,2015-0008
CGCON-BDCL11-50009,2015-0009
CGCON-BDCL11-60002,2016-0002
CGCON-BDCL11-60701,60701
CGCON-BDCL11-70001,2017-0001
CGCON-BDCL12-00001,1
CGCON-BDCL12-00002,3703-00235-0002
CGCON-BDCL12-00004,4
CGCON-BDCL12-00006,6
CGCON-BDCL12-00007,7
CGCON-BDCL12-00008,8
CGCON-BDCL12-00009,9
CGCON-BDCL12-00010,10
CGCON-BDCL12-02001,2001
CGCON-BDCL12-02002,2002
CGCON-BDCL12-15004,2015-0004
CGCON-BDCL12-15005,2015-0005
CGCON-BDCL12-15009,9
CGCON-BDCL12-17009,2017-009
CGCON-BDCL12-50001,2015-0001
CGCON-BDCL12-50002,2015-0002
CGCON-BDCL12-50003,2015-0003
CGCON-BDCL12-50004,2015-0004
CGCON-BDCL12-50005,2015-0005
CGCON-BDCL12-50006,2015-0006
CGCON-BDCL12-50007,2015-0007
CGCON-BDCL12-50008,2015-0008
CGCON-BDCL12-50009,2015-0009
CGCON-BDCL12-60002,2016-0002
CGCON-BDCL12-60701,60701
CGCON-BDCL12-70001,2017-0001
CGCON-BSTC01-00002,SWE 0002-G
CGCON-BSTC01-00003,SWE 003-G
CGCON-BSTC01-00004,SWE 0004 Rev G
CGCON-BSTC01-00005,SWE 0005-G
CGCON-BSTC01-00006,SWE 00006 Rev G
CGCON-BSTC01-00007,SWE 0007 Rev G
CGCON-BSTC01-00008,SWE 0008 Rev G
CGCON-BSTC01-00009,SWE 0009
CGCON-BSTC01-00010,SWE 0010
CGCON-BSTC01-00011,SWE 0011
CGCON-BSTC01-00012,SWE 0012
CGCON-BSTC01-00013,SWE 0013
CGCON-BSTC01-00016,SWE 0016
CGCON-BSTC01-00017,SWE 0017
CGCON-BSTC01-00018,SWE 0018
CGCON-BSTC01-00042,SWE 0042
CGCON-BSTC01-01002,1002
CGCON-BSTC01-01003,1003
CGCON-BSTC01-01015,1015
CGCON-BSTC01-14362,21436-2
CGCON-BSTC01-23436,23436
CGCON-CSPPCE-00001,WLP-001
CGCON-CSPPCE-00002,WLP-002
CGCON-CSPPCE-00003,WLP-003
CGCON-CSPPCE-00006,WLP-006
CGCON-CSPPCE-00007,WLP-007
CGCON-CSPPCE-00008,WLP-008
CGCON-CSPPCP-00004,WLP-004
CGCON-CSPPCP-00005,WLP-005
CGCON-CWFPCE-37801,ML14378-01
CGCON-CWFPCE-99103,ML12991-03
CGCON-CWFPCE-99104,ML12991-04
CGCON-CWFPCP-10301,ML13103-01
CGCON-CWFPCP-10302,ML13103-02
CGCON-CWFPCP-10303,ML13103-03
CGCON-CWFPCP-10304,ML13103-04
CGCON-CWFPCP-10305,ML13103-05
CGCON-CWFPCP-30001,ML14300-01
CGCON-CWFPCP-30002,ML14300-02
CGCON-CWFPCP-71401,ML12714-01
CGCON-CWFPCP-93601,ML12936-01
CGCON-CWFPCP-99101,ML12991-01
CGCON-CWFPCP-99102,ML12991-02
