       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
    740.000     4.5207     4.5249   3.329693   3.329981     2.1533    -0.3957     0.3714    34.9305 7.9698e+02    731.574    34.9312    34.9301     5.9177    1480.85    27.6817    27.6804
    739.000     4.5251     4.5284   3.329964   3.330234     2.1538    -0.3938     0.3677    34.9298 7.9737e+02    730.587    34.9302    34.9299     5.9181    1480.85    27.6804    27.6798
    738.000     4.5283     4.5346   3.330276   3.330672     2.1546    -0.3938     0.3725    34.9296 8.0540e+02    729.600    34.9310    34.9291     5.9197    1480.85    27.6807    27.6785
    737.000     4.5366     4.5388   3.330866   3.330946     2.1548    -0.3938     0.3718    34.9282 8.1361e+02    728.613    34.9296    34.9283     5.9184    1480.86    27.6787    27.6774
    736.000     4.5442     4.5466   3.331580   3.331631     2.1556    -0.3938     0.3675    34.9283 8.2148e+02    727.627    34.9305    34.9286     5.9194    1480.88    27.6786    27.6768
    735.000     4.5495     4.5518   3.331951   3.332096     2.1558    -0.3955     0.3686    34.9283 8.2888e+02    726.640    34.9298    34.9291     5.9185    1480.88    27.6774    27.6766
    734.000     4.5548     4.5572   3.332510   3.332601     2.1559    -0.4136     0.3727    34.9289 8.3524e+02    725.653    34.9313    34.9298     5.9172    1480.89    27.6781    27.6766
    733.000     4.5631     4.5677   3.333338   3.333631     2.1566    -0.4095     0.3720    34.9295 8.3945e+02    724.666    34.9327    34.9314     5.9176    1480.91    27.6782    27.6766
    732.000     4.5755     4.5789   3.334445   3.334697     2.1564    -0.3950     0.3681    34.9308 8.4280e+02    723.679    34.9332    34.9325     5.9141    1480.94    27.6772    27.6763
    731.000     4.5738     4.5689   3.334097   3.333654     2.1551    -0.3938     0.3680    34.9309 8.3960e+02    722.692    34.9315    34.9313     5.9090    1480.92    27.6760    27.6765
    730.000     4.5617     4.5657   3.332927   3.333291     2.1556    -0.3938     0.3678    34.9304 8.2375e+02    721.705    34.9310    34.9310     5.9118    1480.85    27.6769    27.6765
    729.000     4.5831     4.5853   3.335017   3.335047     2.1564    -0.3938     0.3668    34.9311 8.1812e+02    720.718    34.9334    34.9314     5.9104    1480.93    27.6765    27.6747
    728.000     4.5922     4.5992   3.335868   3.336447     2.1559    -0.3938     0.3636    34.9323 8.2384e+02    719.731    34.9343    34.9337     5.9065    1480.95    27.6762    27.6749
    727.000     4.5990     4.6005   3.336452   3.336520     2.1551    -0.3938     0.3679    34.9329 8.3201e+02    718.744    34.9345    34.9337     5.9017    1480.96    27.6756    27.6748
    726.000     4.6016     4.6016   3.336594   3.336555     2.1546    -0.3938     0.3678    34.9327 8.3914e+02    717.758    34.9339    34.9335     5.8988    1480.95    27.6748    27.6745
    725.000     4.6019     4.6020   3.336557   3.336551     2.1540    -0.3938     0.3678    34.9328 8.4384e+02    716.771    34.9337    34.9335     5.8959    1480.94    27.6747    27.6745
    724.000     4.6017     4.6024   3.336495   3.336529     2.1538    -0.3782     0.3678    34.9328 8.4616e+02    715.784    34.9336    34.9333     5.8946    1480.92    27.6746    27.6743
    723.000     4.6010     4.6013   3.336343   3.336345     2.1539    -0.3744     0.3678    34.9327 8.4768e+02    714.797    34.9332    34.9329     5.8942    1480.90    27.6743    27.6740
    722.000     4.5997     4.6001   3.336143   3.336145     2.1545    -0.3915     0.3678    34.9322 8.4871e+02    713.810    34.9327    34.9323     5.8956    1480.88    27.6741    27.6737
    721.000     4.5992     4.5997   3.336036   3.336036     2.1547    -0.3938     0.3678    34.9319 8.4946e+02    712.823    34.9325    34.9320     5.8957    1480.86    27.6739    27.6735
    720.000     4.5996     4.6012   3.336036   3.336117     2.1547    -0.3938     0.3730    34.9317 8.5169e+02    711.836    34.9325    34.9318     5.8949    1480.84    27.6739    27.6732
