       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
   2935.000     2.1150     2.1167   3.187442   3.203194     1.5626    -0.3744     0.3529    34.7087 1.0124e+03   2887.287    34.7108    34.9005     5.4133    1507.18    27.7486    27.9006
   2934.000     2.1223     2.1428   3.188997   3.205433     1.5670    -0.3743     0.3531    34.7163 1.0176e+03   2886.310    34.7225    34.9005     5.4337    1507.21    27.7574    27.8985
   2933.000     2.1427     2.1696   3.192441   3.207813     1.5707    -0.3743     0.3579    34.7363 1.0198e+03   2885.333    34.7431    34.9013     5.4477    1507.31    27.7723    27.8971
   2932.000     2.1645     2.1739   3.195092   3.208219     1.5739    -0.3757     0.3576    34.7468 1.0196e+03   2884.356    34.7527    34.9021     5.4596    1507.40    27.7783    27.8974
   2931.000     2.1729     2.1795   3.195788   3.208681     1.5773    -0.4123     0.3532    34.7500 1.0169e+03   2883.379    34.7526    34.9022     5.4748    1507.41    27.7776    27.8971
   2930.000     2.1762     2.1815   3.193028   3.208850     1.5826    -0.4016     0.3506    34.7190 1.0122e+03   2882.402    34.7162    34.9026     5.5021    1507.36    27.7481    27.8972
   2929.000     2.1765     2.1785   3.194278   3.208544     1.5953    -0.3761     0.3528    34.7254 1.0103e+03   2881.425    34.7314    34.9024     5.5657    1507.37    27.7603    27.8973
   2928.000     2.1794     2.1818   3.198343   3.208734     1.6050    -0.3881     0.3534    34.7757 1.0154e+03   2880.448    34.7781    34.9017     5.6121    1507.43    27.7976    27.8965
   2927.000     2.1786     2.1847   3.199767   3.208980     1.6085    -0.3868     0.3535    34.7929 1.0166e+03   2879.470    34.7967    34.9021     5.6286    1507.43    27.8125    27.8965
   2926.000     2.1829     2.1947   3.200716   3.209837     1.6115    -0.3739     0.3534    34.8019 1.0180e+03   2878.493    34.8042    34.9023     5.6422    1507.44    27.8181    27.8959
   2925.000     2.1929     2.2041   3.200852   3.210667     1.6150    -0.3933     0.3531    34.7942 1.0184e+03   2877.516    34.7956    34.9029     5.6576    1507.46    27.8105    27.8957
   2924.000     2.2020     2.2097   3.200536   3.211151     1.6181    -0.3804     0.3533    34.7811 1.0185e+03   2876.539    34.7826    34.9032     5.6720    1507.46    27.7994    27.8955
   2923.000     2.2112     2.2206   3.200152   3.212033     1.6230    -0.3877     0.3534    34.7674 1.0159e+03   2875.562    34.7687    34.9028     5.6950    1507.47    27.7875    27.8943
   2922.000     2.2171     2.2215   3.199165   3.212102     1.6257    -0.3897     0.3534    34.7496 1.0105e+03   2874.585    34.7509    34.9032     5.7080    1507.45    27.7727    27.8945
   2921.000     2.2254     2.2313   3.199753   3.212920     1.6261    -0.3785     0.3535    34.7464 1.0086e+03   2873.608    34.7497    34.9030     5.7077    1507.47    27.7711    27.8936
   2920.000     2.2299     2.2394   3.201917   3.213593     1.6255    -0.3934     0.3531    34.7679 1.0109e+03   2872.630    34.7716    34.9031     5.7021    1507.50    27.7884    27.8930
   2919.000     2.2370     2.2479   3.203666   3.214352     1.6245    -0.3938     0.3502    34.7822 1.0140e+03   2871.653    34.7858    34.9037     5.6949    1507.53    27.7991    27.8928
   2918.000     2.2472     2.2554   3.204913   3.214945     1.6233    -0.3938     0.3496    34.7881 1.0155e+03   2870.676    34.7905    34.9034     5.6862    1507.57    27.8021    27.8920
   2917.000     2.2541     2.2631   3.204644   3.215616     1.6224    -0.3794     0.3491    34.7791 1.0157e+03   2869.699    34.7803    34.9038     5.6801    1507.56    27.7934    27.8917
   2916.000     2.2656     2.2755   3.204282   3.216576     1.6230    -0.3914     0.3488    34.7623 1.0174e+03   2868.722    34.7643    34.9027     5.6811    1507.58    27.7796    27.8898
   2915.000     2.2851     2.2921   3.205369   3.218129     1.6234    -0.3938     0.3497    34.7532 1.0192e+03   2867.745    34.7573    34.9043     5.6794    1507.63    27.7725    27.8898
   2914.000     2.2944     2.3043   3.207157   3.219135     1.6236    -0.3761     0.3524    34.7661 1.0179e+03   2866.768    34.7696    34.9040     5.6777    1507.67    27.7816    27.8886
