       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
     59.000     5.4388     5.4405   3.377867   3.378219     2.5647     0.1670     0.4449    34.8836 6.8871e+02     58.428    34.8826    34.8850     6.6125    1473.32    27.5306    27.5322
     60.000     5.4189     5.4196   3.375741   3.376221     2.5618     0.2183     0.4710    34.8827 6.9699e+02     59.418    34.8784    34.8832     6.6074    1473.25    27.5297    27.5334
     61.000     5.3951     5.3947   3.374330   3.374412     2.5611     0.1824     0.5654    34.8873 6.8866e+02     60.408    34.8865    34.8878     6.6098    1473.19    27.5389    27.5400
     62.000     5.4168     5.4165   3.376899   3.377040     2.5610     0.0884     0.4979    34.8930 6.7923e+02     61.398    34.8929    34.8948     6.6063    1473.30    27.5414    27.5429
     63.000     5.3954     5.3982   3.374734   3.375290     2.5598     0.0182     0.4380    34.8920 6.8376e+02     62.388    34.8897    34.8932     6.6070    1473.22    27.5415    27.5439
     64.000     5.3765     5.3790   3.372810   3.373343     2.5558     0.0433     0.4876    34.8896 6.9729e+02     63.378    34.8869    34.8904     6.5984    1473.16    27.5415    27.5440
     65.000     5.3627     5.3636   3.371440   3.371847     2.5505     0.0364     0.4251    34.8860 6.9774e+02     64.369    34.8849    34.8887     6.5848    1473.12    27.5417    27.5446
     66.000     5.3397     5.3455   3.369119   3.370033     2.5496     0.0329     0.4798    34.8845 6.9523e+02     65.359    34.8817    34.8862     6.5865    1473.04    27.5419    27.5447
     67.000     5.3319     5.3324   3.368508   3.368770     2.5480    -0.0208     0.4328    34.8840 6.9185e+02     66.349    34.8823    34.8848     6.5836    1473.02    27.5433    27.5452
     68.000     5.3265     5.3269   3.367988   3.368271     2.5452     0.0288     0.4227    34.8833 6.9375e+02     67.339    34.8813    34.8842     6.5765    1473.02    27.5432    27.5454
     69.000     5.3063     5.3084   3.365927   3.366420     2.5409     0.0607     0.4354    34.8811 7.0151e+02     68.329    34.8781    34.8816     6.5668    1472.95    27.5431    27.5456
     70.000     5.2479     5.2486   3.360240   3.360567     2.5331     0.0825     0.5103    34.8770 7.0018e+02     69.319    34.8730    34.8762     6.5527    1472.72    27.5461    27.5485
     71.000     5.2379     5.2377   3.359589   3.359773     2.5302     0.0294     0.4468    34.8781 6.9614e+02     70.309    34.8755    34.8778     6.5458    1472.70    27.5493    27.5511
     72.000     5.2362     5.2404   3.359705   3.360295     2.5288    -0.0014     0.4162    34.8798 6.9944e+02     71.299    34.8781    34.8805     6.5422    1472.71    27.5515    27.5529
