       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
    964.456     3.8039     3.8035   3.271402   3.271569     1.8243     0.0448     0.0850    4.94014    953.000    34.8856    34.8881    1481.21    4.94002  1032.1658  1032.1677     -0.912    7.30438 0.0000e+00
    963.442     3.8045     3.8036   3.271406   3.271537     1.8245     0.0509     0.0847    4.94021    952.000    34.8856    34.8881    1481.20    4.94008  1032.1610  1032.1631     -0.613    7.30427 0.0000e+00
    962.428     3.8047     3.8043   3.271376   3.271564     1.8248     0.0348     0.0847    4.94052    951.000    34.8856    34.8882    1481.18    4.94040  1032.1564  1032.1584     -0.946    7.30425 0.0000e+00
    961.413     3.8052     3.8052   3.271377   3.271588     1.8255     0.0348     0.0847    4.94257    950.000    34.8856    34.8881    1481.17    4.94245  1032.1517  1032.1537     -1.183    7.30416 0.0000e+00
    960.399     3.8061     3.8059   3.271422   3.271622     1.8256     0.0304     0.0847    4.94214    949.000    34.8857    34.8883    1481.15    4.94202  1032.1470  1032.1490     -1.289    7.30399 0.0000e+00
    959.385     3.8068     3.8065   3.271451   3.271644     1.8264     0.0241     0.0847    4.94424    948.000    34.8858    34.8884    1481.14    4.94411  1032.1423  1032.1445     -1.306    7.30385 0.0000e+00
    958.370     3.8073     3.8069   3.271449   3.271646     1.8262     0.0350     0.0847    4.94290    947.000    34.8858    34.8885    1481.13    4.94277  1032.1377  1032.1399     -1.216    7.30377 0.0000e+00
    957.356     3.8086     3.8083   3.271540   3.271724     1.8267     0.0460     0.0856    4.94399    946.000    34.8860    34.8885    1481.12    4.94387  1032.1331  1032.1350     -1.016    7.30353 0.0000e+00
    956.342     3.8102     3.8093   3.271635   3.271763     1.8272     0.0278     0.0848    4.94500    945.000    34.8859    34.8884    1481.11    4.94488  1032.1282  1032.1302     -0.783    7.30324 0.0000e+00
    955.327     3.8116     3.8117   3.271731   3.271964     1.8270     0.0403     0.0848    4.94341    944.000    34.8862    34.8888    1481.10    4.94329  1032.1235  1032.1256     -0.762    7.30298 0.0000e+00
    954.313     3.8127     3.8124   3.271798   3.271998     1.8275     0.0415     0.0848    4.94438    943.000    34.8863    34.8889    1481.08    4.94426  1032.1189  1032.1210     -0.998    7.30278 0.0000e+00
    953.299     3.8127     3.8126   3.271761   3.271985     1.8270     0.0302     0.0848    4.94208    942.000    34.8863    34.8891    1481.07    4.94196  1032.1143  1032.1165     -1.234    7.30277 0.0000e+00
    952.284     3.8134     3.8132   3.271782   3.272003     1.8272     0.0233     0.0847    4.94190    941.000    34.8864    34.8892    1481.05    4.94178  1032.1096  1032.1118     -1.342    7.30264 0.0000e+00
    951.270     3.8137     3.8135   3.271770   3.271982     1.8279     0.0226     0.0847    4.94400    940.000    34.8864    34.8892    1481.04    4.94388  1032.1050  1032.1072     -1.300    7.30258 0.0000e+00
    950.256     3.8137     3.8136   3.271749   3.271958     1.8280     0.0329     0.0847    4.94371    939.000    34.8867    34.8893    1481.02    4.94359  1032.1006  1032.1027     -1.076    7.30257 0.0000e+00
    949.242     3.8138     3.8136   3.271720   3.271923     1.8285     0.0423     0.0847    4.94467    938.000    34.8868    34.8894    1481.01    4.94455  1032.0959  1032.0980     -0.651    7.30255 0.0000e+00
    948.227     3.8143     3.8143   3.271714   3.271935     1.8289     0.0343     0.0847    4.94549    937.000    34.8867    34.8893    1480.99    4.94536  1032.0912  1032.0931     -0.682    7.30246 0.0000e+00
    947.213     3.8151     3.8145   3.271751   3.271924     1.8288     0.0348     0.0847    4.94419    936.000    34.8868    34.8895    1480.98    4.94407  1032.0865  1032.0887     -0.967    7.30231 0.0000e+00
    946.199     3.8154     3.8152   3.271732   3.271943     1.8289     0.0348     0.0847    4.94388    935.000    34.8868    34.8895    1480.96    4.94375  1032.0819  1032.0840     -1.115    7.30226 0.0000e+00
    945.185     3.8180     3.8197   3.271961   3.272308     1.8289     0.0348     0.0857    4.94285    934.000    34.8873    34.8895    1480.96    4.94273  1032.0773  1032.0789     -1.120    7.30176 0.0000e+00
    944.170     3.8216     3.8220   3.272300   3.272544     1.8291     0.0353     0.0872    4.94259    933.000    34.8880    34.8905    1480.96    4.94246  1032.0728  1032.0747     -0.907    7.30108 0.0000e+00
    943.156     3.8230     3.8232   3.272390   3.272636     1.8293     0.0388     0.0853    4.94235    932.000    34.8881    34.8908    1480.95    4.94222  1032.0680  1032.0702     -0.354    7.30082 0.0000e+00
    942.142     3.8249     3.8248   3.272518   3.272744     1.8292     0.0228     0.0847    4.94109    931.000    34.8882    34.8909    1480.94    4.94096  1032.0632  1032.0654     -0.840    7.30049 0.0000e+00
    941.128     3.8260     3.8254   3.272610   3.272768     1.8295     0.0247     0.0850    4.94158    930.000    34.8886    34.8911    1480.93    4.94145  1032.0587  1032.0608     -1.009    7.30026 0.0000e+00
    940.113     3.8263     3.8254   3.272615   3.272749     1.8294     0.0351     0.0847    4.94063    929.000    34.8888    34.8913    1480.91    4.94051  1032.0543  1032.0564     -0.382    7.30019 0.0000e+00
    939.099     3.8264     3.8257   3.272557   3.272722     1.8290     0.0236     0.0848    4.93823    928.000    34.8886    34.8913    1480.89    4.93810  1032.0494  1032.0516     -0.549    7.30019 0.0000e+00
    938.085     3.8253     3.8245   3.272407   3.272567     1.8291     0.0315     0.0849    4.93828    927.000    34.8885    34.8912    1480.87    4.93816  1032.0449  1032.0471     -0.619    7.30040 0.0000e+00
    937.071     3.8240     3.8230   3.272230   3.272352     1.8296     0.0306     0.0848    4.93969    926.000    34.8883    34.8908    1480.85    4.93957  1032.0403  1032.0424     -0.115    7.30064 0.0000e+00
    936.056     3.8250     3.8245   3.272240   3.272410     1.8305     0.0316     0.0848    4.94229    925.000    34.8879    34.8904    1480.84    4.94217  1032.0352  1032.0372     -0.201    7.30048 0.0000e+00
    935.042     3.8274     3.8267   3.272434   3.272586     1.8314     0.0334     0.0848    4.94458    924.000    34.8881    34.8907    1480.83    4.94445  1032.0304  1032.0326     -0.096    7.30003 0.0000e+00
    934.028     3.8304     3.8296   3.272666   3.272814     1.8320     0.0339     0.0850    4.94556    923.000    34.8883    34.8908    1480.83    4.94544  1032.0255  1032.0277     -0.028    7.29949 0.0000e+00
    933.014     3.8267     3.8261   3.272261   3.272423     1.8326     0.0341     0.0848    4.94780    922.000    34.8879    34.8904    1480.80    4.94768  1032.0210  1032.0232     -0.013    7.30017 0.0000e+00
    932.000     3.8271     3.8264   3.272249   3.272398     1.8315     0.0409     0.0850    4.94290    921.000    34.8878    34.8904    1480.78    4.94278  1032.0162  1032.0184     -0.269    7.30010 0.0000e+00
    930.985     3.8266     3.8261   3.272131   3.272300     1.8310     0.0311     0.0848    4.94042    920.000    34.8875    34.8901    1480.76    4.94030  1032.0115  1032.0135     -1.023    7.30021 0.0000e+00
    929.971     3.8276     3.8273   3.272186   3.272373     1.8310     0.0242     0.0847    4.93986    919.000    34.8876    34.8902    1480.75    4.93973  1032.0068  1032.0089     -1.141    7.30002 0.0000e+00
    928.957     3.8281     3.8275   3.272181   3.272352     1.8312     0.0357     0.0850    4.93974    918.000    34.8876    34.8902    1480.73    4.93962  1032.0021  1032.0042     -1.094    7.29994 0.0000e+00
    927.943     3.8284     3.8280   3.272173   3.272357     1.8313     0.0335     0.0849    4.93945    917.000    34.8876    34.8903    1480.72    4.93932  1031.9974  1031.9996     -0.903    7.29988 0.0000e+00
    926.929     3.8290     3.8284   3.272193   3.272350     1.8318     0.0341     0.0848    4.94073    916.000    34.8877    34.8902    1480.71    4.94061  1031.9928  1031.9949     -0.694    7.29976 0.0000e+00
    925.914     3.8305     3.8301   3.272273   3.272458     1.8319     0.0388     0.0852    4.94003    915.000    34.8876    34.8903    1480.70    4.93990  1031.9879  1031.9901     -0.883    7.29949 0.0000e+00
    924.900     3.8316     3.8318   3.272340   3.272561     1.8327     0.0453     0.0852    4.94238    914.000    34.8878    34.8902    1480.68    4.94225  1031.9833  1031.9851     -1.071    7.29929 0.0000e+00
    923.886     3.8340     3.8355   3.272525   3.272825     1.8325     0.0470     0.0858    4.94042    913.000    34.8880    34.8900    1480.68    4.94030  1031.9785  1031.9799     -1.163    7.29885 0.0000e+00
    922.872     3.8399     3.8410   3.273018   3.273308     1.8330     0.0346     0.0847    4.94079    912.000    34.8881    34.8904    1480.69    4.94067  1031.9733  1031.9750     -1.184    7.29779 0.0000e+00
    921.858     3.8416     3.8420   3.273139   3.273397     1.8330     0.0277     0.0852    4.93993    911.000    34.8883    34.8909    1480.68    4.93981  1031.9685  1031.9705     -1.125    7.29747 0.0000e+00
    920.844     3.8427     3.8429   3.273200   3.273437     1.8337     0.0346     0.0849    4.94199    910.000    34.8884    34.8910    1480.66    4.94186  1031.9639  1031.9658     -1.019    7.29727 0.0000e+00
    919.829     3.8439     3.8437   3.273274   3.273482     1.8336     0.0311     0.0848    4.94059    909.000    34.8885    34.8912    1480.65    4.94046  1031.9591  1031.9613     -0.941    7.29705 0.0000e+00
