       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
     67.659     7.3787     7.3775   3.575999   3.576044     2.0516     0.0470     0.1021    4.69716     67.000    35.1030    35.1048    1481.27    4.69696  1027.7559  1027.7574      1.069    6.69780 0.0000e+00
     68.669     7.3722     7.3709   3.575429   3.575487     2.0513     0.0450     0.1016    4.69743     68.000    35.1030    35.1049    1481.26    4.69723  1027.7614  1027.7631      0.809    6.69882 0.0000e+00
     69.679     7.3672     7.3643   3.575100   3.574978     2.0509     0.0439     0.1019    4.69741     69.000    35.1039    35.1055    1481.26    4.69721  1027.7675  1027.7692      0.158    6.69955 0.0000e+00
     70.689     7.3565     7.3546   3.574208   3.574336     2.0503     0.0440     0.1012    4.69750     70.000    35.1045    35.1078    1481.23    4.69730  1027.7740  1027.7770      0.894    6.70118 0.0000e+00
     71.699     7.3058     7.3043   3.569336   3.569495     2.0492     0.0460     0.1009    4.70059     71.000    35.1022    35.1054    1481.05    4.70039  1027.7842  1027.7870      0.666    6.70913 0.0000e+00
     72.709     7.2872     7.2861   3.567508   3.567526     2.0472     0.0431     0.1006    4.69705     72.000    35.1005    35.1018    1481.00    4.69685  1027.7902  1027.7914      0.313    6.71207 0.0000e+00
     73.720     7.2809     7.2795   3.566910   3.566914     2.0456     0.0357     0.1001    4.69378     73.000    35.0999    35.1013    1480.99    4.69358  1027.7953  1027.7965      0.680    6.71308 0.0000e+00
     74.730     7.2724     7.2712   3.566102   3.566147     2.0446     0.0425     0.0997    4.69224     74.000    35.0992    35.1009    1480.97    4.69204  1027.8005  1027.8020      0.594    6.71444 0.0000e+00
     75.740     7.2706     7.2691   3.565989   3.565988     2.0440     0.0453     0.0993    4.69135     75.000    35.0993    35.1007    1480.98    4.69115  1027.8054  1027.8069      0.466    6.71471 0.0000e+00
     76.750     7.2560     7.2535   3.564503   3.564482     2.0439     0.0425     0.0990    4.69331     76.000    35.0973    35.0996    1480.94    4.69311  1027.8107  1027.8129      0.614    6.71706 0.0000e+00
     77.760     7.2133     7.2097   3.560123   3.560089     2.0431     0.0456     0.0991    4.69628     77.000    35.0922    35.0955    1480.78    4.69608  1027.8174  1027.8206      0.533    6.72392 0.0000e+00
     78.770     7.1651     7.1623   3.555111   3.555032     2.0417     0.0443     0.0997    4.69854     78.000    35.0857    35.0877    1480.60    4.69834  1027.8239  1027.8258      0.429    6.73171 0.0000e+00
     79.780     7.1429     7.1430   3.552788   3.553007     2.0415     0.0315     0.0996    4.70110     79.000    35.0822    35.0846    1480.53    4.70091  1027.8289  1027.8307      0.455    6.73531 0.0000e+00
     80.790     7.1164     7.1141   3.550040   3.550076     2.0408     0.0267     0.0999    4.70283     80.000    35.0785    35.0812    1480.44    4.70264  1027.8344  1027.8368      0.689    6.73961 0.0000e+00
     81.800     7.0781     7.0766   3.546228   3.546329     2.0403     0.0457     0.1004    4.70621     81.000    35.0750    35.0776    1480.30    4.70601  1027.8417  1027.8440      0.727    6.74575 0.0000e+00
     82.810     7.0661     7.0648   3.545039   3.545063     2.0398     0.0544     0.1010    4.70690     82.000    35.0737    35.0752    1480.27    4.70670  1027.8469  1027.8484      0.490    6.74769 0.0000e+00
     83.820     7.0584     7.0573   3.544283   3.544303     2.0396     0.0328     0.1014    4.70775     83.000    35.0726    35.0740    1480.26    4.70756  1027.8519  1027.8530      0.345    6.74894 0.0000e+00
     84.830     7.0525     7.0514   3.543913   3.543904     2.0398     0.0439     0.1032    4.70948     84.000    35.0740    35.0751    1480.25    4.70928  1027.8584  1027.8595      0.877    6.74980 0.0000e+00
     85.840     7.0476     7.0465   3.543455   3.543507     2.0394     0.0428     0.1012    4.70942     85.000    35.0735    35.0753    1480.25    4.70922  1027.8633  1027.8649      0.775    6.75059 0.0000e+00
     86.850     7.0403     7.0399   3.542771   3.542843     2.0389     0.0430     0.1009    4.70948     86.000    35.0729    35.0741    1480.24    4.70928  1027.8685  1027.8695      0.302    6.75176 0.0000e+00
     87.861     7.0351     7.0338   3.542321   3.542333     2.0386     0.0434     0.1005    4.70961     87.000    35.0728    35.0742    1480.23    4.70942  1027.8738  1027.8751      0.697    6.75259 0.0000e+00
     88.871     7.0190     7.0175   3.540846   3.540936     2.0373     0.0426     0.1001    4.70808     88.000    35.0724    35.0749    1480.19    4.70789  1027.8804  1027.8826      0.747    6.75512 0.0000e+00
     89.881     7.0100     7.0091   3.540113   3.540148     2.0362     0.0416     0.1009    4.70643     89.000    35.0730    35.0742    1480.17    4.70624  1027.8867  1027.8878      0.535    6.75651 0.0000e+00
     90.891     6.9991     6.9978   3.539052   3.539067     2.0355     0.0341     0.1007    4.70619     90.000    35.0719    35.0734    1480.14    4.70600  1027.8920  1027.8934      0.480    6.75827 0.0000e+00
     91.901     6.9953     6.9948   3.538694   3.538830     2.0347     0.0301     0.0999    4.70494     91.000    35.0713    35.0733    1480.14    4.70475  1027.8967  1027.8984      0.417    6.75889 0.0000e+00
     92.911     6.9616     6.9603   3.535381   3.535507     2.0342     0.0421     0.0992    4.70775     92.000    35.0686    35.0713    1480.03    4.70755  1027.9039  1027.9063      0.681    6.76430 0.0000e+00
     93.921     6.9501     6.9493   3.534349   3.534372     2.0335     0.0336     0.0994    4.70771     93.000    35.0684    35.0695    1480.00    4.70751  1027.9102  1027.9111      0.601    6.76612 0.0000e+00
     94.931     6.9563     6.9553   3.535094   3.535108     2.0326     0.0371     0.0993    4.70482     94.000    35.0698    35.0710    1480.04    4.70463  1027.9150  1027.9160      0.336    6.76508 0.0000e+00
     95.942     6.9608     6.9593   3.535723   3.535729     2.0309     0.0446     0.0991    4.69948     95.000    35.0716    35.0733    1480.08    4.69929  1027.9204  1027.9219      0.777    6.76429 0.0000e+00
     96.952     6.9500     6.9490   3.534810   3.534813     2.0296     0.0433     0.0989    4.69750     96.000    35.0721    35.0731    1480.05    4.69731  1027.9270  1027.9279      0.776    6.76598 0.0000e+00
     97.962     6.9505     6.9492   3.535067   3.535067     2.0286     0.0426     0.0989    4.69486     97.000    35.0739    35.0753    1480.07    4.69467  1027.9329  1027.9341      0.404    6.76582 0.0000e+00
     98.972     6.9344     6.9330   3.533536   3.533489     2.0261     0.0337     0.0989    4.68961     98.000    35.0729    35.0739    1480.02    4.68942  1027.9390  1027.9399      0.492    6.76839 0.0000e+00
     99.982     6.9323     6.9315   3.533557   3.533691     2.0251     0.0338     0.0989    4.68737     99.000    35.0747    35.0771    1480.03    4.68718  1027.9453  1027.9473      0.645    6.76863 0.0000e+00
    100.992     6.9119     6.9108   3.531582   3.531608     2.0243     0.0394     0.0989    4.68781    100.000    35.0732    35.0747    1479.97    4.68762  1027.9517  1027.9530      0.491    6.77191 0.0000e+00
    102.002     6.9073     6.9061   3.531195   3.531218     2.0237     0.0345     0.0989    4.68722    101.000    35.0732    35.0747    1479.97    4.68704  1027.9569  1027.9583      0.482    6.77265 0.0000e+00
    103.013     6.9028     6.9016   3.530835   3.530848     2.0226     0.0140     0.0990    4.68483    102.000    35.0733    35.0747    1479.97    4.68464  1027.9623  1027.9635      0.599    6.77335 0.0000e+00
    104.023     6.8966     6.8953   3.530272   3.530298     2.0213     0.0246     0.0990    4.68232    103.000    35.0729    35.0745    1479.96    4.68213  1027.9674  1027.9689      0.701    6.77435 0.0000e+00
    105.033     6.8920     6.8909   3.529857   3.529871     2.0200     0.0406     0.0989    4.67949    104.000    35.0725    35.0738    1479.96    4.67930  1027.9724  1027.9735      0.548    6.77509 0.0000e+00
    106.043     6.8857     6.8840   3.529255   3.529250     2.0194     0.0419     0.0989    4.67909    105.000    35.0718    35.0735    1479.95    4.67890  1027.9773  1027.9789      0.305    6.77612 0.0000e+00
    107.053     6.8713     6.8700   3.527865   3.527905     2.0193     0.0263     0.0993    4.68087    106.000    35.0706    35.0724    1479.91    4.68068  1027.9830  1027.9846      0.847    6.77844 0.0000e+00
    108.064     6.8662     6.8648   3.527385   3.527415     2.0194     0.0244     0.0989    4.68259    107.000    35.0700    35.0717    1479.90    4.68240  1027.9879  1027.9895      1.066    6.77927 0.0000e+00
    109.074     6.8583     6.8571   3.526675   3.526736     2.0192     0.0396     0.0993    4.68350    108.000    35.0696    35.0715    1479.89    4.68331  1027.9934  1027.9950      1.007    6.78052 0.0000e+00
    110.084     6.8370     6.8356   3.524663   3.524756     2.0191     0.0401     0.0989    4.68625    109.000    35.0686    35.0711    1479.82    4.68606  1028.0002  1028.0023      0.678    6.78394 0.0000e+00
    111.094     6.8206     6.8193   3.523138   3.523154     2.0189     0.0336     0.0989    4.68790    110.000    35.0681    35.0695    1479.77    4.68771  1028.0067  1028.0079      0.517    6.78656 0.0000e+00
