WetView ver 7.1	01-18-2019	14:31:20
ACS Meter
530000CE		; Serial number
3	; structure version number
Reserved
0.000000	0.000000		; Depth calibration
115200			; Baud rate
0.250000			; Path length (meters)
86			; output wavelengths
35			; number of temperature bins
					0.885858	1.340364	2.431739	3.463729	4.547846	5.485068	6.514286	7.533714	8.489306	9.487541	10.485714	11.516875	12.472329	13.483333	14.486557	15.492807	16.485000	17.477600	18.490213	19.507609	20.532308	21.488909	22.494545	23.502453	24.501000	25.491591	26.490000	27.488500	28.493590	29.525349	30.494902	31.484583	32.492128	33.502727	34.504884	; temperature bins
C462.0	A459.7	28	-0.506705	-0.146508		-0.018799	-0.018042	-0.016741	-0.015713	-0.014588	-0.013784	-0.012988	-0.012394	-0.011649	-0.010696	-0.010039	-0.008946	-0.008038	-0.006750	-0.005890	-0.004963	-0.003884	-0.003494	-0.003017	-0.002659	-0.002140	-0.001663	-0.001277	-0.000865	-0.000476	0.000000	0.000284	0.000698	0.001003	0.001448	0.001837	0.002147	0.002564	0.002723	0.002899		-0.025002	-0.023729	-0.021713	-0.020710	-0.019706	-0.018851	-0.017911	-0.017171	-0.016105	-0.015182	-0.014452	-0.013815	-0.012751	-0.011748	-0.010804	-0.009818	-0.008955	-0.008028	-0.007113	-0.006262	-0.005397	-0.004289	-0.003240	-0.002076	-0.000937	0.000000	0.000809	0.001377	0.002114	0.002446	0.002936	0.003616	0.003950	0.004284	0.004243		; C and A offset, and C and A temperature correction info
C466.2	A463.4	30	-0.466063	-0.119162		-0.018125	-0.017365	-0.015820	-0.014977	-0.014619	-0.013710	-0.012884	-0.012248	-0.011278	-0.010183	-0.009438	-0.008664	-0.007728	-0.006806	-0.005779	-0.004984	-0.004154	-0.003643	-0.003163	-0.003014	-0.002504	-0.001940	-0.001397	-0.001034	-0.000692	0.000000	0.000329	0.000717	0.000992	0.001279	0.001529	0.001985	0.002022	0.002148	0.002276		-0.023813	-0.022632	-0.020762	-0.019778	-0.018876	-0.018084	-0.017314	-0.016569	-0.015574	-0.014766	-0.013983	-0.013379	-0.012354	-0.011425	-0.010453	-0.009548	-0.008658	-0.007812	-0.006954	-0.006062	-0.005152	-0.004140	-0.003077	-0.002001	-0.000921	0.000000	0.000743	0.001291	0.001939	0.002219	0.002687	0.003291	0.003570	0.003868	0.003797		; C and A offset, and C and A temperature correction info
C470.6	A467.6	31	-0.423456	-0.091925		-0.016936	-0.016175	-0.015019	-0.014354	-0.013459	-0.012515	-0.011740	-0.010992	-0.010155	-0.009381	-0.008998	-0.008279	-0.007526	-0.006601	-0.005654	-0.004749	-0.004111	-0.003619	-0.003014	-0.002671	-0.002317	-0.001846	-0.001174	-0.000881	-0.000445	0.000000	0.000422	0.000762	0.001185	0.001311	0.001735	0.001968	0.002231	0.002375	0.002510		-0.022400	-0.021310	-0.019609	-0.018656	-0.017794	-0.017050	-0.016336	-0.015649	-0.014690	-0.013905	-0.013248	-0.012642	-0.011735	-0.010842	-0.009906	-0.009070	-0.008325	-0.007524	-0.006633	-0.005826	-0.005012	-0.004008	-0.002993	-0.001905	-0.000847	0.000000	0.000720	0.001186	0.001755	0.002156	0.002514	0.003047	0.003278	0.003579	0.003539		; C and A offset, and C and A temperature correction info
C475.4	A472.2	32	-0.382034	-0.064245		-0.016309	-0.015671	-0.014350	-0.013592	-0.012757	-0.012156	-0.011520	-0.011139	-0.010459	-0.009749	-0.009027	-0.008009	-0.007267	-0.006216	-0.005454	-0.004788	-0.003956	-0.003321	-0.003086	-0.002730	-0.002249	-0.001728	-0.001312	-0.000967	-0.000594	0.000000	0.000163	0.000606	0.000876	0.001226	0.001616	0.001852	0.002075	0.002136	0.002234		-0.021263	-0.020218	-0.018596	-0.017741	-0.016919	-0.016224	-0.015537	-0.014877	-0.014023	-0.013251	-0.012614	-0.012118	-0.011216	-0.010432	-0.009583	-0.008760	-0.008027	-0.007276	-0.006390	-0.005634	-0.004843	-0.003841	-0.002866	-0.001809	-0.000798	0.000000	0.000636	0.001150	0.001679	0.002029	0.002372	0.002818	0.003050	0.003291	0.003206		; C and A offset, and C and A temperature correction info
C480.1	A476.9	34	-0.341102	-0.036023		-0.015810	-0.015090	-0.013724	-0.012931	-0.012578	-0.011772	-0.011080	-0.010286	-0.009441	-0.008628	-0.007999	-0.007322	-0.006670	-0.005846	-0.005016	-0.004263	-0.003644	-0.003342	-0.002764	-0.002455	-0.002210	-0.001829	-0.001325	-0.000940	-0.000641	0.000000	0.000232	0.000602	0.000890	0.001171	0.001437	0.001798	0.001838	0.002134	0.002119		-0.020310	-0.019336	-0.017796	-0.016948	-0.016184	-0.015564	-0.014889	-0.014277	-0.013475	-0.012789	-0.012178	-0.011700	-0.010864	-0.010075	-0.009242	-0.008450	-0.007754	-0.007009	-0.006177	-0.005434	-0.004676	-0.003647	-0.002746	-0.001732	-0.000719	0.000000	0.000718	0.001079	0.001645	0.001889	0.002215	0.002660	0.002798	0.003051	0.002967		; C and A offset, and C and A temperature correction info
C484.6	A481.7	35	-0.306260	-0.007222		-0.014864	-0.014315	-0.013397	-0.012895	-0.011968	-0.011190	-0.010541	-0.010089	-0.009377	-0.008737	-0.008337	-0.007512	-0.006848	-0.005946	-0.005094	-0.004275	-0.003560	-0.003161	-0.002751	-0.002369	-0.002062	-0.001682	-0.001155	-0.000791	-0.000424	0.000000	0.000297	0.000605	0.000921	0.001120	0.001490	0.001750	0.001948	0.002069	0.002168		-0.019216	-0.018283	-0.016854	-0.016134	-0.015333	-0.014741	-0.014170	-0.013567	-0.012800	-0.012135	-0.011547	-0.011100	-0.010349	-0.009641	-0.008904	-0.008205	-0.007481	-0.006825	-0.006032	-0.005341	-0.004514	-0.003542	-0.002675	-0.001679	-0.000775	0.000000	0.000572	0.001029	0.001439	0.001683	0.001984	0.002371	0.002538	0.002700	0.002648		; C and A offset, and C and A temperature correction info
C488.6	A485.7	36	-0.268824	0.020122		-0.014980	-0.014413	-0.013244	-0.012493	-0.011950	-0.011396	-0.010781	-0.010241	-0.009624	-0.008819	-0.008110	-0.007259	-0.006466	-0.005686	-0.004849	-0.004242	-0.003566	-0.003152	-0.002821	-0.002511	-0.001953	-0.001615	-0.001258	-0.000872	-0.000533	0.000000	0.000198	0.000602	0.000839	0.001261	0.001494	0.001705	0.001895	0.001970	0.001986		-0.018298	-0.017419	-0.016077	-0.015351	-0.014665	-0.014089	-0.013556	-0.013046	-0.012300	-0.011699	-0.011182	-0.010711	-0.009988	-0.009263	-0.008608	-0.007942	-0.007245	-0.006582	-0.005786	-0.005116	-0.004343	-0.003424	-0.002553	-0.001575	-0.000685	0.000000	0.000570	0.000962	0.001377	0.001623	0.001871	0.002147	0.002348	0.002540	0.002379		; C and A offset, and C and A temperature correction info
C492.5	A489.5	37	-0.235342	0.047075		-0.014132	-0.013438	-0.012268	-0.011784	-0.011311	-0.010623	-0.009943	-0.009282	-0.008633	-0.007996	-0.007516	-0.006995	-0.006352	-0.005602	-0.004785	-0.004069	-0.003481	-0.003117	-0.002671	-0.002327	-0.002169	-0.001728	-0.001174	-0.000857	-0.000494	0.000000	0.000306	0.000636	0.000982	0.001058	0.001447	0.001680	0.001764	0.001866	0.001969		-0.017761	-0.016897	-0.015583	-0.014901	-0.014203	-0.013663	-0.013146	-0.012605	-0.011890	-0.011280	-0.010778	-0.010313	-0.009584	-0.009001	-0.008317	-0.007663	-0.007044	-0.006363	-0.005649	-0.004979	-0.004229	-0.003349	-0.002487	-0.001540	-0.000718	0.000000	0.000485	0.000858	0.001211	0.001433	0.001680	0.001960	0.002089	0.002234	0.002160		; C and A offset, and C and A temperature correction info
C496.5	A493.5	39	-0.197703	0.074361		-0.013861	-0.013345	-0.012439	-0.011783	-0.011035	-0.010341	-0.009840	-0.009453	-0.008831	-0.008231	-0.007688	-0.006914	-0.006267	-0.005342	-0.004685	-0.004056	-0.003386	-0.002924	-0.002659	-0.002350	-0.002006	-0.001606	-0.001137	-0.000790	-0.000460	0.000000	0.000331	0.000608	0.000894	0.001201	0.001438	0.001697	0.001828	0.001952	0.001980		-0.016828	-0.016018	-0.014771	-0.014126	-0.013536	-0.012982	-0.012466	-0.011930	-0.011272	-0.010733	-0.010276	-0.009797	-0.009153	-0.008586	-0.007938	-0.007330	-0.006753	-0.006138	-0.005434	-0.004796	-0.004067	-0.003213	-0.002353	-0.001503	-0.000670	0.000000	0.000473	0.000832	0.001142	0.001350	0.001556	0.001794	0.001874	0.002010	0.001906		; C and A offset, and C and A temperature correction info
C500.5	A497.2	40	-0.171814	0.100565		-0.013912	-0.013361	-0.012325	-0.011727	-0.011305	-0.010840	-0.010261	-0.009678	-0.009008	-0.008237	-0.007621	-0.006891	-0.006140	-0.005529	-0.004716	-0.004058	-0.003482	-0.003165	-0.002712	-0.002448	-0.002014	-0.001587	-0.001276	-0.000857	-0.000445	0.000000	0.000228	0.000620	0.000779	0.001114	0.001356	0.001652	0.001822	0.001907	0.001922		-0.015877	-0.015127	-0.013978	-0.013383	-0.012786	-0.012257	-0.011821	-0.011368	-0.010785	-0.010236	-0.009796	-0.009402	-0.008808	-0.008246	-0.007658	-0.007063	-0.006511	-0.005907	-0.005257	-0.004610	-0.003924	-0.003059	-0.002250	-0.001442	-0.000662	0.000000	0.000429	0.000749	0.001081	0.001229	0.001387	0.001594	0.001697	0.001785	0.001722		; C and A offset, and C and A temperature correction info
